Country/area,Capacity_Weighted_Age_Years
Philippines,19.87701875780425
Singapore,20.85274604509809
Indonesia,14.191641541350274
Malaysia,16.31370998700873
Thailand,15.722606386563685
Vietnam,11.572670289106256
