Billing_Month,Metric,Value,Source_Page
2025-07-01,Trading_Amount_Billion_PHP,10.72,12
2025-08-01,Bilateral_Quantity_GWh,8304.0,12
2025-08-01,Daily_Average_MQ_GWh,317.0,12
2025-08-01,ESSP_PHP_per_kWh,5.56,12
2025-08-01,Metered_Quantity_GWh,9823.0,12
2025-08-01,Spot_Quantity_GWh,1519.0,12
2025-08-01,Trading_Amount_Billion_PHP,15.32,12
2025-09-01,Bilateral_Quantity_GWh,8236.0,12
2025-09-01,Daily_Average_MQ_GWh,308.0,12
2025-09-01,ESSP_PHP_per_kWh,3.28,12
2025-09-01,Metered_Quantity_GWh,9543.0,12
2025-09-01,Spot_Quantity_GWh,1307.0,12
2025-09-01,Trading_Amount_Billion_PHP,8.84,12
2025-10-01,Bilateral_Quantity_GWh,8140.0,12
2025-10-01,Daily_Average_MQ_GWh,313.0,12
2025-10-01,ESSP_PHP_per_kWh,5.12,12
2025-10-01,Metered_Quantity_GWh,9405.0,12
2025-10-01,Spot_Quantity_GWh,1265.0,12
2025-10-01,Trading_Amount_Billion_PHP,14.09,12
2025-11-01,Bilateral_Quantity_GWh,8292.0,12
2025-11-01,Daily_Average_MQ_GWh,305.0,12
2025-11-01,ESSP_PHP_per_kWh,4.57,12
2025-11-01,Metered_Quantity_GWh,9451.0,12
2025-11-01,Spot_Quantity_GWh,1159.0,12
2025-11-01,Trading_Amount_Billion_PHP,13.13,12
2025-12-01,Bilateral_Quantity_GWh,7926.0,12
2025-12-01,Daily_Average_MQ_GWh,305.0,12
2025-12-01,ESSP_PHP_per_kWh,5.52,12
2025-12-01,Metered_Quantity_GWh,9141.0,12
2025-12-01,Spot_Quantity_GWh,1214.0,12
2025-12-01,Trading_Amount_Billion_PHP,14.2,12
