Year,Region,Sector,Month,Consumption_MWh
2024,Visayas,Own-Use,Feb,146587
2024,Visayas,Own-Use,Mar,145393
2024,Visayas,Own-Use,Apr,142148
2024,Visayas,Own-Use,May,129949
2024,Visayas,Own-Use,Jun,130575
2024,Visayas,Own-Use,Jul,116766
2024,Visayas,Own-Use,Aug,122212
2024,Visayas,Own-Use,Sep,136166
2024,Visayas,Own-Use,Oct,127902
2024,Visayas,Own-Use,Nov,147106
2024,Visayas,Own-Use,Dec,165432
2024,Visayas,System Loss,Jan,156796
2024,Visayas,System Loss,Feb,143996
2024,Visayas,System Loss,Mar,136503
2024,Visayas,System Loss,Apr,170449
2024,Visayas,System Loss,May,190895
2024,Visayas,System Loss,Jun,173758
2024,Visayas,System Loss,Jul,152464
2024,Visayas,System Loss,Aug,135563
2024,Visayas,System Loss,Sep,160375
2024,Visayas,System Loss,Oct,176872
2024,Visayas,System Loss,Nov,179109
2024,Visayas,System Loss,Dec,132999
2024,Visayas,Total Consumption,Jan,1413393
2024,Visayas,Total Consumption,Feb,1366231
2024,Visayas,Total Consumption,Mar,1357469
2024,Visayas,Total Consumption,Apr,1535334
2024,Visayas,Total Consumption,May,1593458
2024,Visayas,Total Consumption,Jun,1534788
2024,Visayas,Total Consumption,Jul,1411595
2024,Visayas,Total Consumption,Aug,1476760
2024,Visayas,Total Consumption,Sep,1501283
2024,Visayas,Total Consumption,Oct,1504073
2024,Visayas,Total Consumption,Nov,1545444
2024,Visayas,Total Consumption,Dec,1471283
2024,Mindanao,Residential,Jan,458158
2024,Mindanao,Residential,Feb,427767
2024,Mindanao,Residential,Mar,437869
2024,Mindanao,Residential,Apr,504112
2024,Mindanao,Residential,May,518125
2024,Mindanao,Residential,Jun,510824
2024,Mindanao,Residential,Jul,465912
2024,Mindanao,Residential,Aug,493814
2024,Mindanao,Residential,Sep,485564
2024,Mindanao,Residential,Oct,485782
2024,Mindanao,Residential,Nov,503273
2024,Mindanao,Residential,Dec,489248
2024,Mindanao,Commercial,Jan,148885
