year_page,report_id,doc_title,report_month,download_url,pdf_path,market_transactions_page,market_scope,billing_month,metric,value,source_report_count,overlap_row_count
2022,3636,May 2022 Market Operations Highlights,2022-05-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_05302022_djs_ejdg_v2_.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_05_3636_May_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-05-01,Bilateral_Quantity_GWh,6556.0,10,10
2022,3636,May 2022 Market Operations Highlights,2022-05-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_05302022_djs_ejdg_v2_.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_05_3636_May_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-06-01,Bilateral_Quantity_GWh,6710.0,9,9
2022,3771,June 2022 Market Operations Highlights,2022-06-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_June2022%20Results.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_06_3771_June_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-07-01,Bilateral_Quantity_GWh,6161.0,9,9
2022,3848,July 2022 Market Operations Highlights,2022-07-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_July2022%20Results.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_07_3848_July_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-08-01,Bilateral_Quantity_GWh,6385.0,9,9
2022,4058,September 2022 Market Operations Highlights,2022-09-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Sep2022%20Result.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_09_4058_September_2022_Market_Operations_Highlights.pdf,12,Luzon_Visayas,2021-09-01,Bilateral_Quantity_GWh,6322.0,10,10
2022,4138,October 2022 Market Operations Highlights,2022-10-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Oct2022%20Results.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_10_4138_October_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-10-01,Bilateral_Quantity_GWh,6232.0,10,10
2022,4138,October 2022 Market Operations Highlights,2022-10-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Oct2022%20Results.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_10_4138_October_2022_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2021-11-01,Bilateral_Quantity_GWh,6293.0,10,10
2022,4228,November 2022 Market Operations Highlights,2022-11-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Nov2022%20Result.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_11_4228_November_2022_Market_Operations_Highlights.pdf,12,Luzon_Visayas,2021-12-01,Bilateral_Quantity_GWh,5705.0,10,10
2022,4585,December 2022 Market Operations Highlights,2022-12-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/December%202022%20Market%20Operations%20Highlights.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2022_2022_12_4585_December_2022_Market_Operations_Highlights.pdf,6,Luzon_Visayas,2022-01-01,Bilateral_Quantity_GWh,5617.0,10,10
2023,4389,January 2023 Market Operations Highlights,2023-01-01,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media_Jan2023_Result.pdf,/Users/emmettsexton/Documents/GitHub/PHL_electricity_prices/iemop_market_transactions_2021_2025/data/raw_pdfs/2023_2023_01_4389_January_2023_Market_Operations_Highlights.pdf,9,Luzon_Visayas,2022-02-01,Bilateral_Quantity_GWh,6100.0,11,11
